EHST0100,LM:2023/11/25 13:55:35:919,FD:00001,LD:00185,RC:00185,MC:05000,TO:00000,             
00023,00123,                                                                ,00000,0000,2023/11/23 08:37:15:166,000,00000,0000000000,0000000000,0000000000,   
00024,00003,                                                                ,00000,0000,2023/11/23 08:37:18:694,000,00000,0000000000,0000000000,0000000000,   
00025,00001,                                                                ,00000,0000,2023/11/25 08:07:05:299,000,00000,0000000000,0000000001,0010040400,   
00026,00120,                                                                ,00000,0000,2023/11/25 08:07:11:152,000,00000,0000000000,0000000001,0000000000,   
00027,00127,                                                                ,00000,0000,2023/11/25 08:08:08:181,000,00000,0000000000,0000000000,0000000000,   
00028,00126,                                                                ,00000,0000,2023/11/25 08:26:37:841,000,00000,0000000000,0000000000,0000000000,   
00029,00123,                                                                ,00000,0000,2023/11/25 08:26:37:841,000,00000,0000000000,0000000000,0000000000,   
00030,00003,                                                                ,00000,0000,2023/11/25 08:26:41:367,000,00000,0000000000,0000000000,0000000000,   
00031,00001,                                                                ,00000,0000,2023/11/25 08:35:06:091,000,00000,0000000000,0000000001,0010040400,   
00032,00120,                                                                ,00000,0000,2023/11/25 08:35:12:207,000,00000,0000000000,0000000001,0000000000,   
00033,00127,                                                                ,00000,0000,2023/11/25 08:36:05:368,000,00000,0000000000,0000000000,0000000000,   
00034,00126,                                                                ,00000,0000,2023/11/25 08:48:25:787,000,00000,0000000000,0000000000,0000000000,   
00035,00123,                                                                ,00000,0000,2023/11/25 08:48:25:788,000,00000,0000000000,0000000000,0000000000,   
00036,00003,                                                                ,00000,0000,2023/11/25 08:48:29:304,000,00000,0000000000,0000000000,0000000000,   
00037,00001,                                                                ,00000,0000,2023/11/25 09:26:16:352,000,00000,0000000000,0000000001,0010040400,   
00038,00120,                                                                ,00000,0000,2023/11/25 09:26:22:473,000,00000,0000000000,0000000001,0000000000,   
00039,00127,                                                                ,00000,0000,2023/11/25 09:26:24:677,000,00000,0000000000,0000000000,0000000000,   
00040,01034,                                                                ,00000,0000,2023/11/25 09:50:19:088,000,00000,0000000000,0000000002,0000000000,   
00041,01033,                                                                ,00000,0000,2023/11/25 09:50:22:478,000,00000,0000000000,0000000002,0000000000,   
00042,04066,                                                                ,00001,E0E6,2023/11/25 09:52:15:409,001,00000,0000000000,0000000002,0000000000,   
00043,04066,                                                                ,00001,E0E6,2023/11/25 09:52:21:082,001,00000,0000000000,0000000002,0000000000,   
00044,04066,                                                                ,00001,E0E6,2023/11/25 09:52:34:104,001,00000,0000000000,0000000002,0000000000,   
00045,00599,                                                                ,00001,E0E6,2023/11/25 09:54:06:160,000,00000,0000000000,0000000002,0000065535,   
00046,02513,init                                                            ,00063,E00D,2023/11/25 10:25:11:054,000,00000,0000000001,0000007018,0000000000,   
00047,00005,main                                                            ,00091,0000,2023/11/25 10:43:40:139,000,00000,0000000001,0000000002,0000000000,   
00048,00005,main                                                            ,00112,0000,2023/11/25 11:02:14:734,000,00000,0000000001,0000000003,0000000000,   
00049,00005,main                                                            ,00112,0000,2023/11/25 11:02:24:444,000,00000,0000000001,0000000003,0000000000,   
00050,00005,main                                                            ,00112,0000,2023/11/25 11:02:34:333,000,00000,0000000001,0000000003,0000000000,   
00051,00005,main                                                            ,00112,0000,2023/11/25 11:02:57:884,000,00000,0000000001,0000000003,0000000000,   
00052,00005,main                                                            ,00113,0000,2023/11/25 11:06:12:982,000,00000,0000000001,0000000003,0000000000,   
00053,00005,main                                                            ,00113,0000,2023/11/25 11:06:35:940,000,00000,0000000001,0000000003,0000000000,   
00054,00005,main                                                            ,00122,0000,2023/11/25 11:17:04:605,000,00000,0000000001,0000000004,0000000000,   
00055,04065,Pick_Infeed_Block                                               ,00093,E0EE,2023/11/25 11:17:12:084,001,00006,0000000001,0000000744,0000000000,   
00056,00005,main                                                            ,00122,0000,2023/11/25 11:17:58:110,000,00000,0000000001,0000000004,0000000000,   
00057,04065,Alignment_Block                                                 ,00109,E0EE,2023/11/25 11:18:04:077,001,00006,0000000001,0000000744,0000000000,   
00058,00005,main                                                            ,00122,0000,2023/11/25 11:18:36:025,000,00000,0000000001,0000000004,0000000000,   
00059,04065,Alignment_Block                                                 ,00109,E0EE,2023/11/25 11:18:41:044,001,00006,0000000001,0000000744,0000000000,   
00060,00005,main                                                            ,00121,0000,2023/11/25 11:21:33:267,000,00000,0000000001,0000000004,0000000000,   
00061,04243,                                                                ,00000,0000,2023/11/25 11:21:37:945,001,00006,0000000000,0000000000,0000000000,   
00062,04243,Alignment_Block                                                 ,00107,E0EE,2023/11/25 11:21:38:162,001,00006,0000000001,0000000000,0000000000,   
00063,00005,main                                                            ,00121,0000,2023/11/25 11:22:08:967,000,00000,0000000001,0000000004,0000000000,   
00064,04243,                                                                ,00000,0000,2023/11/25 11:22:13:599,001,00006,0000000000,0000000000,0000000000,   
00065,04243,Alignment_Block                                                 ,00107,E0EE,2023/11/25 11:22:13:817,001,00006,0000000001,0000000000,0000000000,   
00066,00005,main                                                            ,00120,0000,2023/11/25 11:23:33:724,000,00000,0000000001,0000000004,0000000000,   
00067,00005,main                                                            ,00120,0000,2023/11/25 11:24:13:841,000,00000,0000000001,0000000004,0000000000,   
00068,00005,main                                                            ,00121,0000,2023/11/25 11:25:53:050,000,00000,0000000001,0000000004,0000000000,   
00069,04065,Alignment_Block                                                 ,00109,E0EE,2023/11/25 11:26:07:213,001,00006,0000000001,0000000744,0000000000,   
00070,00005,main                                                            ,00121,0000,2023/11/25 11:27:53:210,000,00000,0000000001,0000000004,0000000000,   
00071,04065,Pick_Infeed_Block                                               ,00093,E0EE,2023/11/25 11:28:17:528,001,00006,0000000001,0000000744,0000000000,   
00072,00005,main                                                            ,00121,0000,2023/11/25 11:30:17:290,000,00000,0000000001,0000000004,0000000000,   
00073,04278,                                                                ,00000,0000,2023/11/25 11:30:35:536,001,00000,0000000000,0000000000,0000000000,   
00074,04278,Alignment_Block                                                 ,00107,E0EE,2023/11/25 11:30:35:736,001,00000,0000000001,0000000000,0000000000,   
00075,00005,main                                                            ,00121,0000,2023/11/25 11:30:59:262,000,00000,0000000001,0000000004,0000000000,   
00076,04278,                                                                ,00000,0000,2023/11/25 11:31:03:871,001,00000,0000000000,0000000000,0000000000,   
00077,04278,Alignment_Block                                                 ,00107,E0EE,2023/11/25 11:31:04:132,001,00000,0000000001,0000000000,0000000000,   
